,shortName,playerName,team,aggressiveness,attempts,avgAirYardsDifferential,avgAirYardsToSticks,avgCompletedAirYards,avgIntendedAirYards,avgTimeToThrow,completionPercentage,completionPercentageAboveExpectation,expectedCompletionPercentage,interceptions,maxCompletedAirDistance,passTouchdowns,passYards,passerRating,season,seasonType,week,gameId
15,D.Carr,Derek Carr,OAK,15.4,26,-1.4,-1.4,6.2,7.7,2.33,84.6,14.4,70.2,0,38.3,1,259,121,2019,REG,1,2019090901
16,J.Brissett,Jacoby Brissett,IND,22.2,27,-1.6,-3.7,4.4,6,2.33,77.8,6.6,71.2,0,33.5,2,190,120.7,2019,REG,1,2019090807
17,P.Rivers,Philip Rivers,LAC,5.9,34,-0.9,-2.4,6,6.9,2.69,73.5,3.4,70.1,1,38.3,3,333,121.3,2019,REG,1,2019090807
18,D.Prescott,Dak Prescott,DAL,18.8,32,-0.1,0.4,8.6,8.7,2.53,78.1,9,69.1,0,44.2,4,405,158.3,2019,REG,1,2019090810
19,G.Minshew,Gardner Minshew,JAX,16,25,1.2,-4,6.6,5.5,2.66,88,16.2,71.8,1,49,2,275,122.5,2019,REG,1,2019090802
20,J.Goff,Jared Goff,LA,7.7,39,-3.5,-1.1,3.4,6.8,2.68,59,-10.6,69.6,1,24.9,1,186,69,2019,REG,1,2019090800
21,K.Murray,Kyler Murray,ARI,22.2,54,-2.1,1.7,8.5,10.5,2.84,53.7,-0.1,53.9,1,55.1,2,308,75.2,2019,REG,1,2019090809
22,J.Allen,Josh Allen,BUF,10.8,37,-2,-1.1,6,8,2.72,64.9,-2.3,67.1,2,42.5,1,254,71.2,2019,REG,1,2019090805
23,D.Watson,Deshaun Watson,HOU,16.7,30,-1.5,0.5,8.8,10.3,2.73,66.7,2.8,63.9,1,55.8,3,268,114.3,2019,REG,1,2019090900
24,M.Ryan,Matt Ryan,ATL,13,46,-2.3,-1.5,5.6,8,2.94,71.7,5.5,66.2,2,36.7,2,304,85.8,2019,REG,1,2019090804
25,M.Stafford,Matthew Stafford,DET,15.6,45,-3.1,3.2,8.8,11.9,2.73,60,2.1,57.9,0,37.8,3,385,110,2019,REG,1,2019090809
26,A.Rodgers,Aaron Rodgers,GB,16.7,30,-2.6,0.6,6.5,9.1,3.04,60,-2.5,62.5,0,53.5,1,203,91.4,2019,REG,1,2019090500
27,J.Winston,Jameis Winston,TB,19.4,36,-3.6,-0.7,5.1,8.7,3.02,55.6,-5.1,60.6,3,29.6,1,194,45.4,2019,REG,1,2019090811
28,L.Jackson,Lamar Jackson,BAL,15,20,-1.1,4.6,11,12.1,2.87,85,26.9,58.1,0,46.9,5,324,158.3,2019,REG,1,2019090803
29,A.Dalton,Andy Dalton,CIN,13.7,51,-0.6,-2.1,6.4,6.9,2.61,68.6,0,68.6,0,51.9,2,418,106.5,2019,REG,1,2019090808
30,C.Newton,Cam Newton,CAR,13.2,38,-1.4,-2.4,4.9,6.3,2.24,65.8,-6,71.8,1,33.7,0,239,72.1,2019,REG,1,2019090800
